time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445550000	13.4409	2.57144	5.1174	0.539574	0.590553	radar	9.64878	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6941	2.65216	5.12891	0.51947	0.486455	lidar	1.23012	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9117	2.77761	5.12769	0.540218	0.4765	radar	0.0949634	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1402	2.91915	5.15213	0.56584	0.478712	lidar	0.289129	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3988	3.0156	5.26013	0.519073	0.268933	radar	1.79973	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6144	3.04972	5.13557	0.468513	0.143785	lidar	2.62237	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8432	3.21928	5.25614	0.504142	0.177844	radar	3.37663	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0489	3.42619	5.31362	0.575444	0.306324	lidar	0.617297	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2507	3.62278	5.29342	0.647276	0.461098	radar	2.21762	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4659	3.79905	5.32132	0.677633	0.474883	lidar	0.228925	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6783	3.93224	5.29101	0.673644	0.41593	radar	1.29452	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9085	4.04621	5.25282	0.652477	0.334889	lidar	0.491013	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.098	4.22046	5.17633	0.705224	0.465523	radar	1.47232	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2936	4.41056	5.20729	0.740311	0.488107	lidar	0.151207	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5073	4.57124	5.2391	0.734448	0.399712	radar	0.819197	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6875	4.72485	5.19308	0.74475	0.381999	lidar	0.521384	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8284	4.93943	5.07719	0.847061	0.663102	radar	2.92364	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
